beta,c_max,k_c,f0,k_f,sse,peak,late_mean
0.07,300.0,0.02,0.1,0.25,5506.163832856001,115.53990476096736,114.09066738635461
0.06,450.0,0.02,0.1,0.1,5510.133212933487,109.0962652010649,107.91859157579125
0.07,350.0,0.01,0.15,0.15,5527.5521513048425,116.6159017412773,115.4935310744483
0.07,450.0,0.02,0.1,0.1,5529.763921776286,115.15933793174752,113.7986197232545
0.06,350.0,0.01,0.1,0.15,5531.526104109459,106.0806856178921,105.08124970567528
0.07,300.0,0.01,0.1,0.1,5538.060108830101,115.59703909825494,114.39590874479117
0.05,300.0,0.02,0.15,0.25,5539.093171322568,106.30573838815944,105.26226354116875
0.07,350.0,0.02,0.12,0.2,5540.655301761697,116.63258872052957,115.21614152924472
0.07,400.0,0.02,0.12,0.15,5543.4442749854215,116.49364617102626,115.1074979000459
0.05,300.0,0.01,0.15,0.2,5544.252032802335,104.43375286232266,103.55063508653974
0.06,450.0,0.02,0.12,0.25,5545.4168441723095,107.3924870436431,106.21357881961556
0.05,350.0,0.02,0.15,0.2,5550.364394246731,105.99590187766314,104.97220252364775
0.06,450.0,0.015,0.1,0.1,5558.985950741701,107.11367426212321,106.05019666546947
0.06,300.0,0.02,0.1,0.25,5571.513695796515,109.39473741079296,108.14488903065991
0.07,350.0,0.02,0.1,0.15,5579.770885469859,115.81557960962317,114.39728284076357
0.07,300.0,0.01,0.15,0.2,5580.443429134766,117.07078193298855,115.87749074384968
0.07,450.0,0.005,0.1,0.25,5591.297538116665,102.3238199905774,101.58360766337985
0.06,300.0,0.015,0.1,0.25,5596.328712007002,108.0650922712764,106.89276044592106
0.07,350.0,0.01,0.12,0.1,5598.073750855872,116.07206775437778,114.94510256591875
