f0,t_hold,t_switch,k1,k2,sse,peak,mid_mean,late_mean,jump_pct,loss
0.18,10,35,0.05,0.2,17645.55379178763,123.8424552681479,123.04932479205263,117.20978273037656,4.847125499332305,23033.227300094255
0.16,8,50,0.04,0.16,16946.61524505841,124.85015125677927,124.15689770466804,118.397649119131,4.520652702501038,23135.12050813972
0.18,8,50,0.05,0.24,17342.763375492123,124.61959699391016,123.84319759158655,117.93769447856421,4.847125499332305,23252.312309689467
0.18,8,45,0.05,0.12,17342.627187655657,124.49891958455241,123.78978853030814,118.09287727422658,4.847125499332305,23291.99549466586
0.16,12,35,0.04,0.2,17783.554354088417,124.11308733056299,123.31690199468673,117.44516527763793,4.520652702501038,23343.631229044702
0.16,12,45,0.05,0.16,17493.222167013722,124.60610011040497,123.85037622089745,118.00491005987391,4.520652702501038,23432.610548709265
0.18,8,50,0.05,0.2,17465.59274396503,124.72675324436189,123.96965321705345,118.08917132614779,4.847125499332305,23473.451743195794
0.16,10,40,0.04,0.16,17732.766143596484,124.64585107477765,123.87253707346152,117.99225364211279,4.520652702501038,23675.63557051519
0.18,8,50,0.05,0.16,17640.861727415762,124.85925276440078,124.13350429766597,118.31614680651406,4.847125499332305,23789.31425560276
0.16,8,50,0.04,0.12,17311.960277963106,125.07381635905699,124.4495187357918,118.89833047569803,4.520652702501038,23795.302018295064
0.16,8,35,0.03,0.16,17958.677198802638,124.54184060649158,123.75672164890936,117.86578987912117,4.520652702501038,23816.340435688373
0.18,8,35,0.04,0.24,18244.916891625708,124.22735513191628,123.42367357561645,117.5289613364255,4.847125499332305,23867.663821276834
0.16,12,50,0.05,0.3,17789.813669774314,124.96005594605418,124.16139358694711,118.18847073212231,4.520652702501038,23904.92104655393
0.16,10,35,0.03,0.3,18305.77598215515,124.2979902967054,123.49102320565805,117.58475257438467,4.520652702501038,23973.47331236062
0.18,10,35,0.05,0.16,18292.055815587595,124.38929668856892,123.5994128441558,117.71492779040175,4.847125499332305,24039.670267231733
0.16,12,50,0.05,0.24,17932.369430673578,125.09645536551807,124.3151151570714,118.35248445982276,4.520652702501038,24161.59548284344
0.16,12,45,0.05,0.12,17932.560177193416,124.96499361510558,124.2569476954894,118.52156166523338,4.520652702501038,24205.54705727942
0.18,8,50,0.05,0.12,17908.843348394286,125.02460187214845,124.34974293614623,118.68585677881936,4.847125499332305,24273.7287266307
0.16,12,50,0.05,0.2,18069.777312297112,125.21321658578032,124.4529052145263,118.51749621882445,4.520652702501038,24409.11453402398
0.16,12,35,0.04,0.16,18597.98457927053,124.79079584193114,123.9986348678926,118.07109684732757,4.520652702501038,24613.71815138433
0.16,10,45,0.04,0.3,18412.062490610384,125.19398273727352,124.37836122965624,118.36386746815624,4.520652702501038,24669.924739051603
0.18,8,35,0.04,0.2,18796.283249381144,124.67579766658105,123.86959939956469,117.92569555668274,4.847125499332305,24712.19127249048
0.16,12,50,0.05,0.16,18265.969819778107,125.35760304633223,124.63145893402812,118.76478477739957,4.520652702501038,24762.775095438108
0.18,10,40,0.05,0.3,18946.16299861932,124.78896158851452,123.97451484932375,118.00651758021685,4.847125499332305,24927.986563165683
0.16,10,35,0.03,0.24,19023.699579186745,124.86005322809591,124.04612808957236,118.07148973129682,4.520652702501038,25056.653030439833
0.16,10,40,0.04,0.12,18560.63812376102,125.34808043085299,124.61819080348486,118.7985748715072,4.520652702501038,25067.817684581776
0.16,10,45,0.04,0.24,18695.49968723926,125.47138172759244,124.66340244387023,118.62959388016182,4.520652702501038,25155.17618940551
0.16,12,50,0.05,0.12,18566.206766291663,125.53780195104996,124.86712956657774,119.16766384716347,4.520652702501038,25305.444959724067
