l_early,l_late,t_late,tau_b,b_slope,b_max,sse,peak,late_mean,loss
1600.0,1350.0,30,10,25.0,300.0,3494.4062013142793,102.26643551285424,101.83089170888638,3875.9619398126206
1600.0,1400.0,25,15,35.0,350.0,3494.9299177110684,102.0852375005131,101.64780195814056,3876.180505823448
1600.0,1350.0,30,15,30.0,350.0,3479.44653001985,100.89648193202784,100.59781106328343,3877.084674277624
1550.0,1450.0,25,15,25.0,350.0,3482.8140663975055,103.90447731289233,103.33097983981256,3880.6847873940305
1600.0,1400.0,20,15,40.0,300.0,3492.381131808074,103.53075890622912,102.95385231256287,3880.9920771179286
1600.0,1350.0,30,12,40.0,300.0,3500.164608546139,102.22511061680386,101.78913496805285,3881.6037630851642
1600.0,1450.0,30,10,30.0,300.0,3401.602932448047,106.05072279940461,105.33904673838882,3881.865956644947
1550.0,1400.0,30,15,35.0,300.0,3483.1822053415126,103.94867093511154,103.37557787609552,3882.2978003144412
1600.0,1450.0,25,12,40.0,300.0,3421.9635204253377,105.7324956814396,105.01830901983499,3883.7628524001707
1600.0,1300.0,30,15,35.0,300.0,3488.3187905740097,100.88226919091494,100.58343069278632,3886.203427854311
1600.0,1450.0,25,10,25.0,300.0,3422.1104080625964,105.77524981962605,105.06139966653154,3886.29494538744
1600.0,1400.0,30,10,40.0,300.0,3491.310028287846,103.84909086122153,103.2750869285797,3887.6653455988053
1600.0,1450.0,20,12,25.0,350.0,3499.9358013058286,103.56143702845793,102.98480955959047,3889.2214770218316
1600.0,1450.0,25,12,35.0,350.0,3501.701490672108,103.59343498789742,103.01709879086991,3891.7071979982775
1600.0,1400.0,25,10,25.0,300.0,3501.48875760849,103.64017499747061,103.06426452066734,3892.576090346265
1600.0,1400.0,25,12,40.0,300.0,3505.8794423122854,103.59829169670775,103.02199972181187,3895.9958897256615
1600.0,1400.0,30,15,30.0,400.0,3497.7924571404164,100.8393170942548,100.53997218119378,3896.442015392157
1550.0,1400.0,25,15,25.0,300.0,3506.9603863535394,103.80216198152235,103.2277292569087,3902.070667427955
1600.0,1450.0,20,12,30.0,300.0,3452.427847114407,105.5064366480413,104.79047482503326,3902.107852570939
1600.0,1450.0,30,10,35.0,300.0,3429.708984727668,105.9303481095218,105.21772076888439,3902.794870786405
1600.0,1450.0,25,10,25.0,350.0,3513.6332812947194,103.59687456666441,103.02056968793836,3903.7173765125035
