l1,l2,l3,t1,t2,sse,peak,mid_mean,late_mean,jump_pct,loss
1600.0,1500.0,1150.0,25,60,2403.67549738246,107.1498443357576,106.62555085199669,102.81910523246185,4.520652702501038,3096.656752093833
1600.0,1500.0,1150.0,30,60,2489.5847471165184,107.52763989500208,106.99739566923218,103.14662318701,4.520652702501038,3164.704726883433
1600.0,1500.0,1150.0,25,65,2475.9478305907596,107.70120174197382,107.39808619322253,104.14425769842646,4.520652702501038,3232.0690198741067
1600.0,1500.0,1150.0,35,60,2592.4594032330583,107.9145380374107,107.37818573361604,103.48192285844777,4.520652702501038,3255.2716548839603
1650.0,1500.0,1150.0,25,60,2613.063520912478,108.02977250021428,107.49159823289862,103.58176779089271,4.602271547657,3272.7013766077716
1600.0,1500.0,1200.0,25,60,2475.5839447293347,107.1498443357576,106.74400358533845,103.8333418317559,4.520652702501038,3274.1911579934194
1600.0,1550.0,1150.0,25,60,2650.6341323082233,108.56149091755583,108.01489356117364,104.04234891971902,4.520652702501038,3306.3872722232873
1600.0,1500.0,1150.0,30,65,2582.021269768989,108.07354406167588,107.77261753301386,104.47603416740156,4.520652702501038,3336.3902798390354
1600.0,1500.0,1200.0,30,60,2571.3148794569192,107.52763989500208,107.11626014956155,104.16410679754179,4.520652702501038,3359.8020251660323
1600.0,1550.0,1150.0,30,60,2709.4527848692983,108.75268720514306,108.20305459607712,104.20791487387031,4.520652702501038,3366.357931623267
1600.0,1550.0,1150.0,35,60,2774.0126880521943,108.94813878135749,108.39539984368437,104.37713807696784,4.520652702501038,3433.6220109546957
1600.0,1500.0,1200.0,25,65,2566.7265098299513,107.70120174197382,107.40670228936187,104.9791558310377,4.520652702501038,3437.2092872862618
1650.0,1500.0,1150.0,30,60,2791.37739998435,108.60156358906663,108.05433035922272,104.07705196591458,4.602271547657,3446.571052616169
1600.0,1500.0,1150.0,35,65,2705.678737572901,108.45483243117133,108.1561587216025,104.81569365160554,4.520652702501038,3464.284434324827
1600.0,1500.0,1200.0,35,60,2684.3100692504245,107.9145380374107,107.49747186142918,104.50273067908334,4.520652702501038,3468.464195821689
1650.0,1500.0,1200.0,25,60,2707.940665786567,108.02977250021428,107.61100994106125,104.60356549876565,4.602271547657,3491.3047828091876
1650.0,1500.0,1150.0,25,65,2732.4988072368237,108.56839116556063,108.27039059602097,104.91683686415035,4.602271547657,3492.8669058278906
1600.0,1500.0,1250.0,25,60,2572.0296638827176,107.1498443357576,106.86263110099947,104.85736402631623,4.520652702501038,3498.451943767234
1600.0,1500.0,1150.0,25,70,2635.704099634756,108.26545890202993,107.45839886619804,105.51340100764769,4.520652702501038,3549.475365809724
1600.0,1550.0,1200.0,25,60,2759.5484029769336,108.56149091755583,108.13488470282714,105.06871300114081,4.520652702501038,3550.0844794072236
1600.0,1500.0,1200.0,30,65,2680.0181679396183,108.07354406167588,107.78126341653879,105.31360312852054,4.520652702501038,3554.746361737994
1700.0,1500.0,1150.0,25,60,2906.5351809061663,108.9166719468361,108.36443335452763,104.34989577663642,4.683922323934886,3564.2741364915964
1600.0,1500.0,1250.0,30,60,2677.8107873797862,107.52763989500208,107.23530002058271,105.19140748525092,4.520652702501038,3602.058812270031
1650.0,1550.0,1150.0,25,60,2942.003859711066,109.4530980698525,108.89231733101562,104.81420619512704,4.602271547657,3615.063101701253
1600.0,1550.0,1200.0,30,60,2823.443569896804,108.75268720514306,108.32325408218131,105.23592046166002,4.520652702501038,3619.1293461607715
1600.0,1550.0,1150.0,25,65,2826.788479031244,109.30879104087126,108.90983632260532,105.57609480154834,4.520652702501038,3621.0966962033017
1650.0,1500.0,1150.0,35,60,3001.2845479053535,109.18817693962419,108.63161819175198,104.58492651743745,4.602271547657,3665.6474691134836
1600.0,1500.0,1250.0,25,65,2672.821987398015,107.70120174197382,107.41531838550125,105.82058804352496,4.520652702501038,3672.672036766129
1600.0,1500.0,1150.0,30,70,2759.035267801013,108.63246310521905,107.8331387176884,105.8495731369809,4.520652702501038,3683.5974966314425
1650.0,1500.0,1200.0,30,60,2901.3543820399022,108.60156358906663,108.17436516802422,105.10376011022562,4.602271547657,3692.1678845707224
1600.0,1550.0,1200.0,35,60,2893.208829347218,108.94813878135749,108.51581230610404,105.40682144383439,4.520652702501038,3695.697422303675
1600.0,1500.0,1200.0,35,65,2811.112163886934,108.45483243117133,108.16483510819698,105.65599693473872,4.520652702501038,3696.254399029561
1600.0,1550.0,1150.0,30,65,2897.558786381266,109.49756028338192,109.0995519442769,105.74412306715209,4.520652702501038,3702.6717649310885
1600.0,1600.0,1150.0,25,60,3010.7871134098364,109.9912736146528,109.42189609395352,105.27982110395769,4.520652702501038,3710.9146733653592
1600.0,1600.0,1150.0,30,60,3010.7871134098364,109.9912736146528,109.42189609395352,105.27982110395769,4.520652702501038,3710.9146733653592
1600.0,1600.0,1150.0,35,60,3010.7871134098364,109.9912736146528,109.42189609395352,105.27982110395769,4.520652702501038,3710.9146733653592
1650.0,1500.0,1150.0,30,65,2941.832285787854,109.1318341526887,108.83718827740836,105.4185613565615,4.602271547657,3722.314371667168
1650.0,1500.0,1200.0,25,65,2840.1558209059003,108.56839116556063,108.27907606731421,105.75795437569498,4.602271547657,3728.9072233295556
1600.0,1500.0,1250.0,35,60,2801.1614543643086,107.9145380374107,107.61693400293773,105.53338780778554,4.520652702501038,3729.2615243718287
1600.0,1500.0,1200.0,25,70,2724.7574232475927,108.26545890202993,107.45839886619804,106.16080157139902,4.520652702501038,3744.1469288908434
1650.0,1500.0,1250.0,25,60,2827.888688391109,108.02977250021428,107.73059784847064,105.63522211255227,4.602271547657,3757.645948224746
1600.0,1500.0,1300.0,25,60,2693.6329342814793,107.1498443357576,106.98143364021094,105.89126409352605,4.520652702501038,3770.6767612916883
1650.0,1550.0,1150.0,30,60,3093.441776240633,109.83893068881275,109.27198939773709,105.14803937941583,4.602271547657,3784.234413378467
1600.0,1550.0,1150.0,35,65,2974.3751107091634,109.69052444253144,109.29348634100327,105.91586300653991,4.520652702501038,3792.0763333731115
1600.0,1500.0,1250.0,30,65,2793.4717904965255,108.07354406167588,107.78990930006373,106.15772715768661,4.520652702501038,3803.7018112155556
1700.0,1500.0,1200.0,25,60,3024.892200364202,108.9166719468361,108.48481152905386,105.3793090463235,4.683922323934886,3824.84974565464
1600.0,1550.0,1250.0,25,60,2893.858364613012,108.56149091755583,108.25505289987277,106.10498026413411,4.520652702501038,3842.135045350098
1600.0,1500.0,1150.0,35,70,2900.475857759819,109.00826080985759,108.21689342776395,106.19373282905129,4.520652702501038,3842.140447084616
1700.0,1500.0,1150.0,25,65,3074.209937423889,109.44231843384263,109.14953164044633,105.69495314079009,4.683922323934886,3870.814861695018
1650.0,1500.0,1150.0,25,70,2932.6139089431135,109.12017952785679,108.33118889507368,106.29621612646858,4.602271547657,3879.876763438179
1600.0,1550.0,1200.0,25,65,2949.0418847335222,109.30879104087126,108.91858102588859,106.42251958154465,4.520652702501038,3883.8378956150646
1600.0,1500.0,1200.0,30,70,2853.0375650216993,108.63246310521905,107.8331387176884,106.49904265409899,4.520652702501038,3887.9356747955026
1600.0,1500.0,1300.0,30,60,2809.697322374119,107.52763989500208,107.35451552436932,106.2286178258231,4.520652702501038,3892.7218594503847
1700.0,1500.0,1150.0,30,60,3211.9897377674347,109.68591645009386,109.12141996879095,105.0156600686342,4.683922323934886,3894.3784856313832
1650.0,1550.0,1200.0,25,60,3074.7224930215484,109.4530980698525,109.01328000511182,105.84822297418717,4.602271547657,3901.3060663961987
1600.0,1550.0,1250.0,30,60,2962.947278640783,108.75268720514306,108.4436309315195,106.27384514732715,4.520652702501038,3920.476296321275
1600.0,1500.0,1300.0,25,65,2794.555323782655,107.70120174197382,107.4239344816406,106.66860419904053,4.520652702501038,3939.1171718965534
1650.0,1500.0,1200.0,35,60,3126.895424853455,109.18817693962419,108.75229220782133,105.61667003973037,4.602271547657,3939.187799425326
1600.0,1500.0,1150.0,25,75,2820.3404024651554,108.84248879984207,107.45839886619804,106.92833588107543,4.520652702501038,3944.035703804383
1600.0,1500.0,1250.0,25,70,2822.398668995412,108.26545890202993,107.45839886619804,106.81208380946578,4.520652702501038,3956.497768735291
1600.0,1500.0,1250.0,35,65,2932.1461735367,108.45483243117133,108.17351149479148,106.50287677331023,4.520652702501038,3959.108393951555
1600.0,1550.0,1200.0,30,65,3023.560984398728,109.49756028338192,109.10831174909956,106.59190055725618,4.520652702501038,3972.2733027189506
1650.0,1550.0,1150.0,35,60,3260.445937592357,110.23405468438924,109.66079025284053,105.48980025973401,4.602271547657,3975.62531550461
1650.0,1500.0,1200.0,30,65,3060.5815739698373,109.1318341526887,108.84591882414057,106.26371792260257,4.602271547657,3978.657323743942
1650.0,1500.0,1250.0,30,60,3036.7516066887006,108.60156358906663,108.29457709673872,106.14037477218672,4.602271547657,3986.164605300789
1650.0,1500.0,1250.0,25,65,2963.4563748948876,108.56839116556063,108.28776153860747,106.60565484126137,4.602271547657,3995.9165716701023
1650.0,1500.0,1150.0,35,65,3183.8677244653163,109.7098258562205,109.41864676517696,105.93304020838971,4.602271547657,3998.820107876338
1600.0,1550.0,1250.0,35,60,3038.037974419273,108.94813878135749,108.63640244644412,106.4464401767122,4.520652702501038,4006.575938196599
1600.0,1600.0,1200.0,25,60,3158.0354244419823,109.9912736146528,109.54344513524302,106.3184544236972,4.520652702501038,4023.1214483552985
1600.0,1600.0,1200.0,30,60,3158.0354244419823,109.9912736146528,109.54344513524302,106.3184544236972,4.520652702501038,4023.1214483552985
1600.0,1600.0,1200.0,35,60,3158.0354244419823,109.9912736146528,109.54344513524302,106.3184544236972,4.520652702501038,4023.1214483552985
