beta,tau_r,r_max,c_max,k_c,tau_q,q_max,k_q,sse,peak,mid_mean,late_mean,jump_pct,tail_err,loss
0.08,11,525.0,425.0,0.003,62,0.08,0.08,2408.374370202304,107.44435064146299,106.83698289281297,95.45526585563779,4.479916494178848,3.453754225022604,2793.95019881639
0.08,11,550.0,400.0,0.003,62,0.07,0.08,2367.308863483015,107.53087524004047,106.92310034249674,96.36678172698007,4.520652702501038,13.816051640070167,2793.981599914686
0.08,10,525.0,425.0,0.003,62,0.07,0.08,2334.808267487988,107.08087569667764,106.49049618012165,96.09373656879058,4.479916494178848,10.779633823485323,2794.0505582879177
0.079,10,525.0,400.0,0.003,62,0.08,0.1,2438.055866981117,107.69159288552996,107.11676379364319,95.29552423726433,4.463655896520535,2.328846663641661,2794.4990999820748
0.079,10,525.0,400.0,0.0025,62,0.08,0.06,2311.2247368275953,107.44202919579139,106.88690232483088,96.88211277540846,4.463494845059901,21.37500107232361,2794.5988102783085
0.079,12,525.0,400.0,0.0035,62,0.08,0.1,2500.4470843618037,108.66581090004155,108.09933779242076,96.29314579012922,4.463816867475545,10.542504905335385,2794.6154547432566
0.082,10,525.0,425.0,0.003,62,0.08,0.08,2459.16273376179,107.91636885089235,107.28601932489123,95.56202026587,4.592908359469039,3.810776625059643,2794.6259851401173
0.08,10,575.0,375.0,0.0035,62,0.07,0.1,2401.4086643134933,107.45038157128421,106.83896525386498,95.63857183587935,4.561549761925887,5.536924769580141,2794.710530901411
0.079,12,575.0,375.0,0.0035,62,0.07,0.1,2421.5316141348985,107.81896061221111,107.20910573258875,96.07111398979717,4.504031799288888,9.72735396427502,2794.74105152037
0.081,10,525.0,425.0,0.0035,62,0.07,0.08,2356.7929344288355,107.76500194135609,107.18189044926285,96.7581791027019,4.536581805812867,19.531233993891618,2794.8434305378987
0.081,10,575.0,375.0,0.0035,62,0.07,0.1,2440.751666882879,107.87336143798555,107.24732221804179,95.8451050143673,4.619080312317814,7.067328809648897,2794.8975314296904
0.08,11,575.0,375.0,0.0035,62,0.07,0.1,2432.054273879206,107.84985302655747,107.23184959567854,95.96098926508473,4.561549761925887,8.371488007877517,2794.9218874017374
0.079,11,575.0,375.0,0.003,62,0.07,0.08,2346.487438153451,107.19215036567962,106.58749671202379,96.12650180323502,4.5038808598588,11.082561444180596,2795.1156032901094
