beta,tau_r,r_max,c_max,k_c,tau_q,q_max,k_q,m_amp,m_mu,m_sigma,sse,peak,mid_mean,late_mean,jump_pct,tail_err,dip_err,loss
0.078,11,525.0,400.0,0.0035,62,0.07,0.08,0.008,40.0,3.0,2688.57236125765,104.42902373825784,101.55235282652677,92.72609278458219,4.406830318235411,4.69008309280696,309.3777962018875,6407.491988138947
0.078,10,500.0,400.0,0.003,62,0.07,0.08,0.008,40.0,4.0,3123.9454624539785,104.09851945477932,100.05165736965856,91.67805040372536,4.406671428425701,15.05358757850912,203.19142714150823,6407.571398353516
0.079,10,500.0,400.0,0.0035,62,0.07,0.1,0.01,40.0,3.0,2849.2003684929546,104.91134864267612,101.158116091057,91.97222839814806,4.463816867475545,12.453228362923975,270.2794357835531,6408.523291252946
0.08,10,525.0,375.0,0.003,62,0.07,0.08,0.01,40.0,3.0,2711.8602512211096,105.40316110712733,101.39338546192354,92.521926185895,4.561396869632572,6.515886768974378,308.9889647915149,6409.235211928888
0.078,11,500.0,375.0,0.0035,60,0.07,0.08,0.008,40.0,4.0,2730.4228730496966,105.13301095480301,101.46473069943673,92.66190234766238,4.446526425685726,4.670567041338739,309.11848478490685,6411.286935180906
0.079,10,500.0,400.0,0.0035,62,0.07,0.08,0.006,40.0,5.0,2755.1207975496936,104.34902858020325,101.18384882429908,92.71651250204835,4.463816867475501,4.467827664351359,295.42369049057515,6411.556937972253
0.078,10,525.0,375.0,0.0035,62,0.07,0.08,0.006,40.0,5.0,2870.9023596728234,104.06631111465397,100.80396991968273,92.40496428212444,4.44652642568566,6.919141331550743,265.8387112975157,6411.965340747281
0.078,10,500.0,400.0,0.003,62,0.07,0.08,0.006,40.0,4.0,2587.459990214521,104.17853368675576,101.9206476773748,93.24966085957527,4.406671428425701,1.5267308259226808,334.9719377323949,6413.607629782014
0.079,10,500.0,375.0,0.0035,62,0.07,0.08,0.006,40.0,6.0,2824.8215216811805,104.56660578526707,100.77926089368316,92.68617004229486,4.504031798742036,4.361275375222389,283.0320202473122,6417.737067383333
0.079,10,500.0,400.0,0.0035,62,0.07,0.08,0.008,40.0,3.0,2397.5876806679653,104.96285041143128,102.58907991705792,93.89724267842112,4.463816867475545,0.01641563034871798,384.0716291734002,6417.992352829324
0.078,11,500.0,400.0,0.0035,62,0.08,0.08,0.01,40.0,3.0,2865.8732685182345,104.84378046169589,101.0614525788837,91.84278710755429,4.406830318235411,15.119222983509916,262.9613359796771,6420.307099276223
0.08,11,500.0,400.0,0.003,62,0.07,0.08,0.01,40.0,3.0,2630.8167948470305,105.63068395744504,101.66233235250778,92.82825850305747,4.520652702501038,4.056128276517506,332.69725490685613,6420.499488651274
0.079,10,500.0,375.0,0.003,62,0.08,0.08,0.01,40.0,3.0,2615.1219768322753,105.46284409547496,101.9241528893378,92.58809841229106,4.5038808598588,7.015492570659244,331.2150032775902,6421.943174098618
0.078,10,500.0,400.0,0.0035,62,0.08,0.08,0.01,40.0,3.0,2976.4966315063693,104.4794818512918,100.74586438775854,91.57923703537624,4.406830318235411,18.757412931528116,233.5112200204757,6422.977764100304
0.078,10,550.0,375.0,0.0035,62,0.07,0.08,0.008,40.0,3.0,2788.851241072853,104.18574732372575,101.25807751884994,92.38853099415351,4.446526425685726,7.616076102343856,284.9112943380858,6423.898599862258
0.078,11,500.0,375.0,0.003,62,0.07,0.1,0.008,40.0,4.0,2764.281983867062,105.06082284393062,101.34223339452502,92.36726645836134,4.446377438062865,7.856905716216758,297.04221921224024,6424.313537326001
0.078,10,500.0,375.0,0.003,62,0.08,0.08,0.008,40.0,4.0,2864.4201946887447,104.69300940722663,101.03169771429418,91.95112005151734,4.446377438062865,13.545263399249514,265.0124116148143,6424.689236079203
