beta,tau_r,r_max,c_max,k_c,tau_q,q_max,k_q,cool_amp,cool_mu,cool_sigma,sse,peak,mid_mean,late_mean,jump_pct,tail_err,dip_err,loss
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.12,39.0,5.0,2327.0728592875876,106.71610311960387,106.12904616368162,95.83020167664142,4.463655896520469,8.155372354801301,855.2435370140697,7948.886070385511
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.1,39.0,5.0,2327.205704672247,106.71854971424412,106.1314532149499,95.83219586444831,4.463655896520469,8.174502823671197,855.659618553927,7951.29924270004
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.12,39.0,4.0,2327.3057090783664,106.72056860813561,106.13343947993842,95.83384143836291,4.463655896520535,8.19030588098493,856.0235049471845,7953.404474742427
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.08,39.0,5.0,2327.338968123608,106.72099635905987,106.13386031502269,95.83419008913306,4.463655896520491,8.19365606339606,856.0758189269981,7953.713917814383
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.12,41.0,5.0,2327.3724701979745,106.72046140018104,106.13333398908205,95.8337540359827,4.463655896520535,8.189466139640786,856.0792473738101,7953.8151412501475
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.1,39.0,4.0,2327.4002957080247,106.72227102036827,106.13511437572781,95.83522904756819,4.463655896520535,8.203643469754148,856.3097500331667,7955.066557742176
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.1,41.0,5.0,2327.4559319558575,106.72218167811988,106.13502646444564,95.83515621049031,4.463655896520535,8.202943095680563,856.3562112431548,7955.408827532034
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.08,39.0,4.0,2327.495080609075,106.72397345650462,106.13678929476339,95.83661667431079,4.463655896520535,8.216992080770428,856.5960506778724,7956.7293523886365
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.12,39.0,3.0,2327.4837342881274,106.72391046648347,106.13672732289074,95.83656533226474,4.463655896520535,8.216497990178267,856.5981685940853,7956.736252692355
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.12,41.0,4.0,2327.538538557322,106.72360153077847,106.13642338040802,95.83631352388983,4.463655896520535,8.214074925406953,856.6207586810926,7956.953767850265
